trial.type,trial,id,population,sex,ate,familiar.object.colour,novel.object.colour,novel.side,rewarded.side,treatment,distance.moved,mean.velocity,periphery.visits,time.in.periphery,latency.periphery,center.visits,time.in.center,latency.center,freezes,time.freezing,left.object.visits,time.with.left.object,latency.left.object,right.object.visits,time.with.right.object,latency.right.object,left.object.large.visits,time.with.left.object.large,latency.left.object.large,right.object.large.visits,time.with.right.object.large,latency.right.object.large,visits.novel.object,time.with.novel.object,latency.novel.object,visits.familiar.object,time.with.familiar.object,latency.familiar.object,time.with.rewarded.object,time.with.unrewarded.object,number.sessions.ate
re-test,3,C1,AxQ,F,NA,tan.chair,green.square,R,,novel,1289.72,2.14888,51,398.39,0,50,201.995,13.7997,99,121.797,27,41.199,34.3991,13,17.5996,95.1976,35,216.795,13.7997,19,57.1986,21.3995,13,17.5996,95.1976,27,41.199,27,17.5996,41.199,
re-test,3,C2,AxQ,F,NA,tan.chair,green.square,L,,familiar,804.205,1.33993,26,371.991,0,25,228.394,9.39977,60,177.796,11,52.7987,18.3995,13,104.997,10.3997,18,98.9975,0,13,158.396,9.59976,11,52.7987,18.3995,13,104.997,13,104.997,52.7987,
re-test,3,J1,Paria,F,NA,tan.chair,green.square,L,,familiar,795.539,1.32549,46,204.395,15.7996,47,395.99,0,65,112.997,18,71.3982,59.1985,30,131.797,4.39989,16,139.397,58.5985,17,237.594,3.39991,18,71.3982,59.1985,30,131.797,30,131.797,71.3982,
re-test,3,J3,Paria,F,NA,tan.chair,green.square,L,,familiar,949.726,1.58239,28,479.588,0,27,120.797,27.1993,49,51.3987,7,41.9989,29.7993,3,5.99985,65.9983,27,93.1977,28.5993,7,22.7994,64.7984,7,41.9989,29.7993,3,5.99985,3,5.99985,41.9989,
re-test,3,E2,AxQ,F,NA,tan.chair,green.square,R,,familiar,1106.81,1.84412,30,474.588,0,29,125.797,35.7991,22,11.9997,11,14.3996,160.196,12,17.3996,35.7991,46,113.997,12.9997,34,114.397,0,12,17.3996,35.7991,11,14.3996,11,14.3996,17.3996,
baseline,1,A2,AxQ,F,NA,,,R,,familiar,468.413,0.780447,6,585.385,0,5,14.9996,131.797,62,305.792,0,0,-,3,8.59978,186.595,3,5.19987,151.596,11,21.7995,130.397,3,8.59978,186.595,0,0,-,,,
baseline,1,A1,AxQ,F,NA,,,R,,novel,582.825,0.971075,6,587.585,0,5,12.7997,117.597,73,280.193,0,0,-,0,0,-,4,13.7997,115.397,1,2.19995,145.996,0,0,-,0,0,-,,,
baseline,1,B1,AxQ,F,NA,,,L,,familiar,979.432,1.63188,15,546.186,0,14,54.1986,35.7991,45,72.3982,10,10.5997,39.399,1,2.19995,587.585,32,43.1989,38.599,5,6.99982,84.7979,10,10.5997,NA,1,2.19995,NA,,,
baseline,1,C1,AxQ,F,NA,,,R,,novel,518.203,0.863405,2,588.785,7.39981,2,11.5997,0,59,372.591,2,11.3997,0,0,0,-,6,2.79993,7.39981,3,2.19995,14.1996,0,0,-,2,11.3997,0,,,
baseline,1,C2,AxQ,F,NA,,,R,,familiar,489.708,0.837987,2,582.385,0,1,2.79993,448.189,85,131.997,1,2.39994,447.989,0,0,-,3,3.7999,168.996,0,0,-,0,0,-,1,2.39994,447.989,,,
baseline,1,E2,AxQ,F,NA,,,L,,familiar,257.485,0.429009,3,596.585,0,2,3.7999,317.992,35,490.788,1,1.99995,319.392,0,0,-,6,10.1997,317.592,5,2.99992,324.992,1,1.99995,NA,0,0,-,,,
baseline,1,G1,AxQ,F,NA,,,R,,novel,212.716,0.354417,6,577.586,0,5,22.7994,146.196,60,447.789,4,7.39981,149.196,2,2.59993,310.392,10,17.9995,44.3989,3,6.39984,308.792,2,2.59993,310.392,4,7.39981,149.196,,,
baseline,1,G2,AxQ,F,NA,,,L,,familiar,643.072,1.07146,20,493.988,0,19,106.397,54.5986,88,141.996,5,4.99987,145.796,4,4.39989,250.394,17,53.5987,77.3981,23,83.7979,59.3985,5,4.99987,NA,4,4.39989,NA,,,
baseline,1,B4,AxQ,M,NA,,,R,,NA,1586.12,2.64272,24,555.186,0,23,45.1989,3.19992,5,2.39994,4,3.9999,331.592,7,8.59978,86.1978,26,37.5991,58.3985,42,62.7984,0,7,8.59978,86.1978,4,3.9999,331.592,,,
baseline,1,A4,AxQ,M,NA,,,L,,NA,683.443,1.13872,11,560.986,0,10,39.399,47.3988,76,172.796,4,2.39994,47.5988,3,1.99995,72.3982,13,100.397,0,10,9.19977,71.9982,4,2.39994,NA,3,1.99995,NA,,,
baseline,1,C4,AxQ,M,NA,,,L,,NA,683.864,1.1398,18,478.988,0.199994,18,121.197,50.9987,58,151.596,8,17.3996,51.3987,2,3.19992,176.796,22,41.999,47.9988,11,18.7995,174.596,8,17.3996,51.3987,2,3.19992,NA,,,
baseline,1,E4,AxQ,M,NA,,,R,,NA,614.167,1.03887,3,586.785,0,2,5.19987,270.193,71,154.996,0,0,-,1,1.99995,270.193,10,15.1996,2.19995,11,11.1997,211.395,1,1.99995,270.193,0,0,-,,,
baseline,1,G4,AxQ,M,NA,,,R,,NA,454.729,0.757648,17,457.589,0,15,142.596,0.599985,76,297.593,0,0,-,6,13.3997,0.799979,9,143.196,74.3981,16,62.1984,0,6,13.3997,0.799979,0,0,-,,,
baseline,1,B2,AxQ,F,NA,,,L,,novel,765.313,1.35697,4,558.786,0,3,5.99985,332.392,30,134.597,1,0.39999,342.991,1,0.999975,332.392,9,7.39981,202.595,16,27.5993,123.397,1,0.39999,NA,1,0.999975,NA,,,
baseline,2,H2,Paria,F,NA,,,R,,novel,297.079,0.494979,8,570.986,0,8,29.3993,41.9989,57,434.789,1,0.39999,125.197,2,1.99995,144.796,4,6.79983,93.1977,6,15.5996,42.7989,2,1.99995,144.796,1,0.39999,125.197,,,
baseline,2,H1,Paria,F,NA,,,L,,familiar,395.365,0.658738,6,587.785,0,4,7.7998,215.195,89,335.192,0,0,-,0,0,-,2,2.59993,37.1991,3,4.19989,388.39,0,0,-,0,0,-,,,
baseline,2,H4,Paria,M,NA,,,R,,NA,591.381,0.985331,0,0,-,0,0,-,66,98.5975,0,0,-,4,7.19982,52.5987,5,7.59981,18.9995,33,87.3978,1.19997,4,7.19982,52.5987,0,0,-,,,
baseline,2,H3,Paria,F,NA,,,R,,familiar,463.215,0.772045,20,238.994,0.199994,16,360.391,52.3987,61,367.391,9,294.993,52.3987,3,8.19979,148.596,22,31.5992,51.7987,7,8.99977,146.596,3,8.19979,148.596,9,294.993,52.3987,,,
baseline,2,Z2,Paria,F,NA,,,R,,familiar,537.991,0.896375,22,466.588,0,21,133.797,8.39979,87,233.594,5,12.5997,23.5994,12,35.9991,34.7991,11,14.7996,22.3994,29,52.9987,10.5997,12,35.9991,34.7991,5,12.5997,23.5994,,,
baseline,2,Z1,Paria,F,NA,,,L,,novel,505.226,0.841785,16,500.387,16.1996,15,99.5975,0,57,333.592,5,13.7997,101.797,5,7.9998,22.7994,11,12.9997,19.9995,10,9.99975,22.5994,5,13.7997,NA,5,7.9998,NA,,,
