id,trial,distance.moved,mean.velocity,time.in.periphery,time.in.center,left.visits.object,left.time.object,left.latency.object,right.visits.object,right.time.object,right.latency.object,freezes,time.freezing,zone.changes,object.side.my.view,object.side.etho.view,time.with.trained.object,time.with.untrained.object,latency.trained.object,latency.untrained.object,prop.time.trained.object,visits.trained.object,visits.untrained.object,rewarding.object.colour,first.choice,distance.moved.in.periphery,distance.moved.in.center,ate,trial.type
v1,7,694.418,2.31555,269.864,30.2296,7,102.901,31.0304,1,9.40921,96.8949,24,58.257,66,R,L,102.901,9.40921,31.0304,96.8949,0.916221241,7,1,green,trained,559.22,135.198,yes,training
v2,7,162.178,0.540784,297.091,3.00294,1,297.892,2.20216,0,0,-,53,106.304,0,R,L,297.892,0,2.20216,300,1,1,0,green,trained,143.683,18.495,yes,training
v3,7,632.773,2.10999,206.802,93.2913,8,113.111,6.00588,3,29.0284,124.322,25,77.0755,68,R,L,113.111,29.0284,6.00588,124.322,0.795775133,8,3,green,trained,420.033,212.74,yes,training
g1,7,564.757,1.88319,242.037,58.0568,11,42.8419,5.2051,4,36.6359,62.4612,29,81.4798,62,R,L,42.8419,36.6359,5.2051,62.4612,0.539042349,11,4,green,trained,420.415,144.342,no,training
g2,7,818.254,2.72848,189.986,110.108,10,110.308,51.4504,6,66.0647,0,24,78.677,89,R,L,110.308,66.0647,51.4504,0,0.62542559,10,6,green,untrained,490.426,327.828,no,training
g3,7,939.019,3.13117,155.752,144.141,9,39.2384,54.8537,8,43.2423,0,4,2.20216,131,R,L,39.2384,43.2423,54.8537,0,0.475728261,9,8,green,untrained,478.074,460.945,no,training
w1,8,356.111,1.18746,218.614,81.4798,2,187.584,110.308,3,51.8508,48.4474,49,98.8968,6,R,L,187.584,51.8508,110.308,48.4474,0.783445013,2,3,blue,untrained,218.798,137.313,yes,training
w2,8,316.321,1.05478,214.01,84.6829,1,0.600588,235.23,10,224.019,1.20118,14,12.6123,22,R,L,0.600588,224.019,235.23,1.20118,0.002673801,1,10,blue,untrained,149.494,166.827,no,training
w3,8,781.424,2.60567,175.572,123.921,16,160.557,40.0392,7,29.629,12.212,23,21.8214,98,R,L,160.557,29.629,40.0392,12.212,0.844210405,16,7,blue,untrained,377.293,404.131,yes,training
e1,8,447.535,1.49231,249.845,50.2492,4,161.558,81.8802,5,82.8811,0.600588,47,136.333,31,R,L,161.558,82.8811,81.8802,0.600588,0.660933541,4,5,blue,untrained,263.755,183.78,yes,training
e2,8,519.868,1.73351,157.754,142.339,4,113.511,16.2159,4,39.0382,98.096,37,39.839,45,R,L,113.511,39.0382,16.2159,98.096,0.744094364,4,4,blue,trained,200.063,319.805,yes,training
e3,8,2.38374,0.0783358,30.63,0,0,0,-,1,30.63,269.464,2,1.00098,0,R,L,0,30.63,300,269.464,0,0,1,blue,untrained,2.38374,0,no,training
a1,8,601.353,2.00522,221.217,78.8772,7,196.192,13.0127,2,12.0118,117.515,35,36.4357,50,R,L,196.192,12.0118,13.0127,117.515,0.942307489,7,2,blue,trained,375.677,225.676,yes,training
a2,8,484.504,1.61559,233.028,66.8655,3,175.372,0,4,26.2257,31.631,54,58.4572,38,R,L,175.372,26.2257,0,31.631,0.869910718,3,4,blue,trained,303.619,180.885,yes,training
a3,8,1121.06,3.73818,213.609,86.0843,12,35.2345,0,3,12.212,77.2757,4,4.20412,141,R,L,35.2345,12.212,0,77.2757,0.742615367,12,3,blue,trained,869.695,251.365,no,training
b2,8,508.343,1.69508,162.159,136.734,9,107.105,83.6819,5,60.0588,1.60157,14,9.60941,54,R,L,107.105,60.0588,83.6819,1.60157,0.640718864,9,5,blue,untrained,199.318,309.025,yes,training
b3,8,494.63,1.64935,128.526,170.367,2,4.8047,123.721,6,69.468,0,7,56.0549,42,R,L,4.8047,69.468,123.721,0,0.064689987,2,6,blue,untrained,204.863,289.767,no,training
c1,8,234.338,0.781405,290.084,10.0098,1,3.20314,3.20314,1,245.24,54.8537,70,167.564,0,L,R,245.24,3.20314,54.8537,3.20314,0.987107151,1,1,green,untrained,206.961,27.377,yes,training
c3,8,1173.88,3.91434,280.475,19.2188,2,4.40431,118.116,21,149.346,0.200196,6,3.60353,119,L,R,149.346,4.40431,0.200196,118.116,0.971354139,21,2,green,trained,1079.48,94.4,yes,training
c2,8,413.946,1.38031,272.267,27.627,0,0,-,10,197.193,7.60745,33,41.4406,19,L,R,197.193,0,7.60745,300,1,10,0,green,trained,334.508,79.438,yes,training
x1,8,488.516,1.63114,257.252,41.841,2,8.80862,253.448,9,255.25,0.400392,61,69.2678,26,L,R,255.25,8.80862,0.400392,253.448,0.966641422,9,2,green,trained,342.393,146.123,yes,training
x2,8,511.136,1.70439,180.577,119.317,5,28.2276,56.4553,5,88.6868,5.2051,28,91.6898,49,L,R,88.6868,28.2276,5.2051,56.4553,0.75856182,5,5,green,trained,282.34,228.796,no,training
x3,8,543.734,1.81309,213.409,86.4847,2,10.6104,260.655,8,122.52,12.8125,17,17.0167,45,L,R,122.52,10.6104,12.8125,260.655,0.920300698,8,2,green,trained,356.557,187.177,yes,training
v1,8,526.818,1.76139,250.245,48.8478,3,20.6202,137.334,4,165.762,0.800784,49,84.2825,46,L,R,165.762,20.6202,0.800784,137.334,0.889366045,4,3,green,trained,369.591,157.227,yes,training
v2,8,234.991,0.783583,282.877,17.2169,0,0,-,1,296.891,3.20314,84,80.8792,0,L,R,296.891,0,3.20314,300,1,1,0,green,trained,200.44,34.551,yes,training
v3,8,518.752,1.72979,215.211,84.2825,2,3.40333,184.781,10,204,8.80862,12,17.2169,37,L,R,204,3.40333,8.80862,184.781,0.983590765,10,2,green,trained,358.841,159.911,yes,training
g1,8,407.308,1.35817,255.45,44.6437,3,7.60745,0,4,60.6594,24.8243,19,152.149,30,L,R,60.6594,7.60745,24.8243,0,0.888563043,4,3,green,untrained,334.531,72.777,no,training
g2,8,332.531,1.10883,252.447,47.6466,3,10.6104,231.026,4,242.237,0,9,194.991,24,L,R,242.237,10.6104,0,231.026,0.958036349,4,3,green,trained,149.704,182.827,no,training
g3,8,804.711,2.68332,167.764,132.129,6,31.631,17.2169,15,102.1,52.051,5,4.20412,94,L,R,102.1,31.631,52.051,17.2169,0.763472942,15,6,green,untrained,403.833,400.878,no,training
w1,9,396.348,1.32163,256.651,43.4425,3,22.422,7.40725,4,252.247,40.0392,70,126.123,11,L,R,252.247,22.422,40.0392,7.40725,0.918367198,4,3,blue,untrained,259.516,136.832,yes,training
w2,9,654.025,2.20292,180.176,116.914,1,4.00392,130.127,15,163.56,3.00294,7,26.8263,68,L,R,163.56,4.00392,3.00294,130.127,0.976105119,15,1,blue,trained,346.996,307.029,no,training
w3,9,492.968,1.64381,202.398,96.6947,8,69.8684,0,10,176.773,100.098,15,84.4827,37,L,R,176.773,69.8684,100.098,0,0.716720713,10,8,blue,untrained,253.122,239.846,yes,training
e1,9,345.051,1.15058,254.649,45.4445,3,28.4278,30.0294,2,233.228,17.2169,69,120.918,4,L,R,233.228,28.4278,17.2169,30.0294,0.891354214,2,3,blue,trained,232.747,112.304,yes,training
e2,9,420.702,1.40284,152.95,147.144,2,5.80568,78.4768,3,166.363,108.706,38,44.6437,22,L,R,166.363,5.80568,108.706,78.4768,0.966279117,3,2,blue,untrained,147.481,273.221,yes,training
e3,9,751.377,2.50548,202.598,97.2953,2,11.4112,138.335,14,168.365,0,11,22.6221,87,L,R,168.365,11.4112,0,138.335,0.936525525,14,2,blue,trained,419.963,331.414,yes,training
a1,9,527.265,1.75818,220.816,79.2776,3,22.2218,0,6,217.413,30.2296,44,33.8331,25,L,R,217.413,22.2218,30.2296,0,0.90726806,6,3,blue,untrained,299.831,227.434,yes,training
a2,9,157.064,0.523731,296.891,3.20314,0,0,-,1,287.481,12.6123,80,160.557,0,L,R,287.481,0,12.6123,300,1,1,0,blue,trained,149.905,7.159,yes,training
a3,9,731.739,2.44,174.971,124.922,13,85.8841,0,4,37.2365,148.746,7,4.60451,88,L,R,37.2365,85.8841,148.746,0,0.302439234,4,13,blue,untrained,465.644,266.095,no,training
