"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"NA","8a","pair-a","left",21,1124.77,3.74805,29,195.992,0,28,104.302,1.00098,13,35.2345,0,15,84.0823,13.0127,"green","right",84.0823,35.2345,48.8478,48.8478,0.704697913453931,119.3168,300.294,"test",0.17
"NA","8b","pair-a","left",21,1142.33,3.80659,22,199.595,0,21,100.699,2.20216,13,72.0706,0,8,23.6231,19.2188,"blue","right",23.6231,72.0706,48.4475,-48.4475,0.246861601129437,95.6937,300.294,"test",0.14
"yes","1a","pair-2","right",22,111.537,0.371672,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"blue","left",300.294,0,-300.294,300.294,1,300.294,300.294,"refresher",0.29
"yes","1b","pair-2","left",22,273.503,0.91139,7,242.838,13.2129,7,57.2561,0,1,46.2453,0,1,249.244,51.05,"green","right",249.244,46.2453,202.9987,202.9987,0.843495855856709,295.4893,300.0941,"refresher",0.1
"yes","2a","pair-2","right",22,187.483,0.624748,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"blue","left",300.294,0,-300.294,300.294,1,300.294,300.294,"refresher",0.2
"yes","2b","pair-2","left",22,442.305,1.47389,13,218.013,0,13,82.2806,7.60745,5,28.0274,4.40431,3,233.228,47.8468,"blue","right",233.228,28.0274,-205.2006,205.2006,0.892720303580328,261.2554,300.2936,"refresher",0.11
"yes","3a","pair-2","right",22,200.629,0.668554,2,295.689,0,1,4.60451,249.444,2,299.293,0,0,0,300,"blue","left",299.293,0,-299.293,299.293,1,299.293,300.29351,"refresher",0.2
"yes","3b","pair-2","left",22,552.266,1.84031,16,232.428,0,16,67.8664,135.933,5,24.2237,191.187,7,233.228,0,"green","right",233.228,24.2237,209.0043,209.0043,0.905909729863893,257.4517,300.2944,"refresher",0.12
"yes","4a","pair-2","right",22,144.807,0.482539,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.21
"yes","4b","pair-2","left",22,194.238,0.647259,2,291.085,0,1,9.20902,286.48,0,0,300,2,297.892,0,"green","right",297.892,0,297.892,297.892,1,297.892,300.29402,"refresher",0.11
"yes","5a","pair-2","right",22,353.294,1.17728,8,260.655,0,7,39.6388,214.81,4,267.262,0,3,13.0127,235.23,"green","left",267.262,13.0127,254.2493,254.2493,0.953571620984698,280.2747,300.2938,"refresher",0.18
"yes","5b","pair-2","left",22,1125.89,3.75181,21,227.823,2.20216,21,72.471,0,7,27.2267,65.4641,14,132.93,7.20706,"blue","right",132.93,27.2267,-105.7033,105.7033,0.829999619123021,160.1567,300.294,"refresher",0.13
"yes","6a","pair-2","right",22,372.481,1.24122,8,264.259,0,7,36.0353,103.902,3,281.476,0,1,9.8096,197.994,"green","left",281.476,9.8096,271.6664,271.6664,0.966323086345497,291.2856,300.2943,"refresher",0.15
"yes","6b","pair-2","left",22,243.669,0.811975,5,284.078,0,4,16.2159,6.80666,2,19.2188,0,1,266.461,33.8331,"green","right",266.461,19.2188,247.2422,247.2422,0.932726080037861,285.6798,300.2939,"refresher",0.11
"yes","7a","pair-2","right",22,649.062,2.16287,16,240.035,4.20412,16,60.259,0,5,200.797,23.6231,6,21.0206,1.20118,"blue","left",200.797,21.0206,-179.7764,179.7764,0.905234751435414,221.8176,300.294,"refresher",0.31
"yes","7b","pair-2","left",22,606.121,2.01977,19,197.794,0,18,102.5,2.40235,5,31.631,2.40235,4,171.168,18.418,"blue","right",171.168,31.631,-139.537,139.537,0.844027830511985,202.799,300.294,"refresher",0.13
"yes","8a","pair-2","right",22,624.319,2.08041,12,254.85,0,11,45.4445,59.4582,5,185.982,0,2,9.8096,121.119,"green","left",185.982,9.8096,176.1724,176.1724,0.949897748422302,195.7916,300.2945,"refresher",0.17
"no","8b","pair-2","left",22,1106.08,3.68577,22,177.374,6.40627,22,122.92,0,16,90.889,0,7,17.8174,89.2874,"blue","right",17.8174,90.889,73.0716,-73.0716,0.163903873185019,108.7064,300.294,"refresher",0.14
"NA","1a","pair-b","left",23,1306.29,4.35292,22,200.596,0,22,99.6976,2.20216,16,68.8674,2.40235,10,43.8429,26.0255,"blue","right",43.8429,68.8674,25.0245,-25.0245,0.388987519330531,112.7103,300.2936,"test",0.29
