"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"NA","4a","pair-a","left",27,939.79,3.13166,27,162.96,12.0118,27,137.334,0,9,73.8723,35.2345,12,86.0843,0,"green","right",86.0843,73.8723,12.212,12.212,0.538172854386752,159.9566,300.294,"test",0.21
"NA","4b","pair-a","left",27,1015.59,3.38424,28,216.812,4.60451,29,83.4817,0,10,57.2561,83.0813,10,105.503,0,"green","right",105.503,57.2561,48.2469,48.2469,0.648215675805531,162.7591,300.2937,"test",0.11
"NA","5a","pair-a","right",27,889.341,2.96354,24,182.178,0,23,118.116,13.2129,9,112.71,14.4141,7,56.8557,74.2727,"green","left",112.71,56.8557,55.8543,55.8543,0.664698108166923,169.5657,300.294,"test",0.18
"NA","5b","pair-a","right",27,1054.01,3.51227,25,174.571,0,24,125.723,1.60157,12,77.2757,32.6319,8,41.841,1.60157,"blue","left",77.2757,41.841,-35.4347,35.4347,0.648739429483859,119.1167,300.294,"test",0.13
"NA","6a","pair-a","left",27,871.823,2.90517,25,212.208,1.40137,25,88.0862,0,6,103.101,0,9,79.4778,22.6221,"green","right",79.4778,103.101,-23.6232,-23.6232,0.435306837376519,182.5788,300.2942,"test",0.15
"NA","6b","pair-a","right",27,724.476,2.41417,18,149.747,0,17,150.547,15.6153,12,118.516,0,6,35.2345,43.6427,"green","left",118.516,35.2345,83.2815,83.2815,0.770833265582876,153.7505,300.294,"test",0.11
"NA","7a","pair-a","left",27,619.194,2.06334,13,138.936,0,13,161.358,7.00686,7,80.0784,14.2139,6,50.6496,0,"blue","right",50.6496,80.0784,29.4288,-29.4288,0.387442628970075,130.728,300.294,"test",0.31
"NA","7b","pair-a","left",27,648.381,2.16059,17,95.4935,0,17,204.801,7.20706,10,83.8821,0,6,40.6398,36.0353,"blue","right",40.6398,83.8821,43.2423,-43.2423,0.326366687305607,124.5219,300.2945,"test",0.13
"NA","8a","pair-a","right",27,946.509,3.15404,17,245.04,2.00196,17,55.2541,0,10,83.2815,0.200196,4,12.0118,22.422,"green","left",83.2815,12.0118,71.2697,71.2697,0.873949165366296,95.2933,300.2941,"test",0.17
"NA","8b","pair-a","right",27,988.627,3.29439,20,177.173,5.40529,21,123.121,0,6,26.0255,27.0265,12,57.4563,1.00098,"blue","left",26.0255,57.4563,31.4308,-31.4308,0.311750585157483,83.4818,300.294,"test",0.14
"yes","1a","pair-4","left",28,107.672,0.358794,1,300.294,0,0,0,300,0,0,300,1,300.294,0,"blue","right",300.294,0,-300.294,300.294,1,300.294,300.294,"refresher",0.29
"yes","1b","pair-4","right",28,221.703,0.738777,4,296.09,0,4,4.20412,59.258,1,295.489,0,0,0,300,"green","left",295.489,0,295.489,295.489,1,295.489,300.29412,"refresher",0.1
"yes","2a","pair-4","left",28,167.61,0.558527,2,298.893,0,1,1.40137,11.4112,0,0,300,1,300.294,0,"blue","right",300.294,0,-300.294,300.294,1,300.294,300.29437,"refresher",0.2
"yes","2b","pair-4","right",28,244.632,0.815185,6,269.464,0,5,30.8302,2.20216,2,266.261,32.8321,1,4.40431,11.4112,"blue","left",266.261,4.40431,-261.85669,261.85669,0.983727837158001,270.66531,300.2942,"refresher",0.11
"yes","3a","pair-4","left",28,241.987,0.80637,4,289.483,3.80372,4,10.8106,0,0,0,300,1,290.685,9.60941,"blue","right",290.685,0,-290.685,290.685,1,290.685,300.2936,"refresher",0.2
"yes","3b","pair-4","right",28,163.414,0.544543,3,295.489,0,2,4.8047,133.731,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.2937,"refresher",0.12
"yes","4a","pair-4","left",28,144.59,0.481815,1,300.294,0,0,0,300,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.21
"yes","4b","pair-4","right",28,162.285,0.540781,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.11
"yes","5a","pair-4","left",28,308.98,1.02961,11,271.466,2.40235,11,28.8282,0,2,8.80862,1.00098,3,251.246,46.8459,"green","right",251.246,8.80862,242.43738,242.43738,0.96612780807355,260.05462,300.2942,"refresher",0.18
"yes","5b","pair-4","right",28,415.012,1.38294,12,277.071,0,11,23.2227,29.0284,3,256.851,0,1,1.00098,299.293,"blue","left",256.851,1.00098,-255.85002,255.85002,0.996118005376573,257.85198,300.2937,"refresher",0.13
"yes","6a","pair-4","left",28,425.421,1.41763,21,255.05,0.800784,22,45.2443,0,1,44.4435,0,2,243.639,52.6515,"green","right",243.639,44.4435,199.1955,199.1955,0.845726484600765,288.0825,300.2943,"refresher",0.15
"yes","6b","pair-4","right",28,226.109,0.753461,5,285.88,0,4,14.4141,10.4102,1,284.479,15.8155,0,0,300,"green","left",284.479,0,284.479,284.479,1,284.479,300.2941,"refresher",0.11
"yes","7a","pair-4","left",28,449.029,1.4963,16,215.011,0,15,85.2835,0.200196,5,29.8292,5.60549,5,174.771,101.299,"blue","right",174.771,29.8292,-144.9418,144.9418,0.854207376141372,204.6002,300.2945,"refresher",0.31
"yes","7b","pair-4","right",28,376.03,1.25304,13,255.25,0,12,45.0441,3.80372,3,236.431,30.4298,1,10.21,3.80372,"blue","left",236.431,10.21,-226.221,226.221,0.958603800665745,246.641,300.2941,"refresher",0.13
"yes","8a","pair-4","left",28,176.074,0.586731,5,285.479,0,4,14.8145,4.40431,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.2935,"refresher",0.17
"no","8b","pair-4","right",28,684.936,2.28241,19,90.2884,19.8194,20,210.006,0,7,22.8223,8.60843,7,50.6496,135.132,"blue","left",22.8223,50.6496,27.8273,-27.8273,0.310626239419424,73.4719,300.2944,"refresher",0.14
"NA","1a","pair-a","left",29,477.356,1.59069,14,229.625,0,14,70.6692,19.419,7,46.6457,0,3,40.84,38.0372,"blue","right",40.84,46.6457,5.80569999999999,-5.80569999999999,0.46681914872945,87.4857,300.2942,"test",0.29
"NA","1b","pair-a","left",29,779.482,2.59746,29,179.576,0,28,120.718,4.60451,6,39.839,40.84,8,126.123,0,"green","right",126.123,39.839,86.284,86.284,0.759951073137224,165.962,300.294,"test",0.1
"NA","2a","pair-a","left",29,744.345,2.48037,21,157.354,2.60255,21,142.94,0,5,62.261,47.8468,11,116.114,0,"blue","right",116.114,62.261,-53.853,53.853,0.650954449894884,178.375,300.294,"test",0.2
"NA","2b","pair-a","right",29,816.796,2.7218,23,172.169,0,23,128.125,3.40333,6,71.8704,8.40823,8,69.0676,75.4739,"blue","left",71.8704,69.0676,-2.8028,2.8028,0.509943379358299,140.938,300.294,"test",0.11
"NA","3a","pair-a","right",29,785.112,2.61622,18,167.964,0,17,132.33,1.60157,8,96.4945,0,7,56.2551,13.2129,"blue","left",96.4945,56.2551,-40.2394,40.2394,0.631716875199673,152.7496,300.294,"test",0.2
"NA","3b","pair-a","right",29,730.909,2.4356,25,132.73,0,24,167.564,2.20216,12,138.135,11.211,5,27.8272,1.60157,"green","left",138.135,27.8272,110.3078,110.3078,0.832328084346918,165.9622,300.294,"test",0.12
"NA","4a","pair-a","right",29,983.292,3.27662,23,173.97,0,23,126.324,4.20412,15,125.523,0,8,18.2178,27.627,"green","left",125.523,18.2178,107.3052,107.3052,0.873259366860349,143.7408,300.294,"test",0.21
"NA","4b","pair-a","right",29,872.636,2.90788,31,167.964,5.0049,31,132.33,0,9,160.157,36.2355,7,52.4514,0,"green","left",160.157,52.4514,107.7056,107.7056,0.75329573055439,212.6084,300.294,"test",0.11
"NA","5a","pair-a","left",29,1029.7,3.43125,27,191.588,0,26,108.706,0.400392,9,47.0461,52.8517,11,86.8851,0,"green","right",86.8851,47.0461,39.839,39.839,0.648729347605338,133.9312,300.294,"test",0.18
"NA","5b","pair-a","left",29,1231.9,4.10505,25,202.799,2.00196,25,97.4955,0,10,45.8449,0,11,55.4543,10.8106,"blue","right",55.4543,45.8449,-9.6094,9.6094,0.547430779315138,101.2992,300.2945,"test",0.13
"NA","6a","pair-a","right",29,1017.36,3.39014,28,165.962,1.60157,28,134.332,0,11,146.143,17.6172,9,51.8508,0,"green","left",146.143,51.8508,94.2922,94.2922,0.738119072415399,197.9938,300.294,"test",0.15
"NA","6b","pair-a","left",29,870.325,2.90018,29,114.913,1.60157,30,185.381,0,12,78.4768,0,8,90.4886,56.6555,"green","right",90.4886,78.4768,12.0118,12.0118,0.535545147112959,168.9654,300.294,"test",0.11
"NA","7a","pair-a","right",29,910.282,3.03332,29,179.376,0.600588,30,120.918,0,9,65.4641,0,8,39.4386,23.2227,"blue","left",65.4641,39.4386,-26.0255,26.0255,0.624045901583086,104.9027,300.294,"test",0.31
"NA","7b","pair-a","right",29,900.819,3.00179,25,166.363,0.600588,26,133.931,0,10,76.8753,35.6349,9,66.0647,0,"blue","left",76.8753,66.0647,-10.8106,10.8106,0.537815167203022,142.94,300.294,"test",0.13
"NA","8a","pair-a","left",29,847.98,2.82572,18,221.417,9.00882,19,78.8772,0,5,26.0255,8.00784,14,80.0784,0,"green","right",80.0784,26.0255,54.0529,54.0529,0.754716838872087,106.1039,300.2942,"test",0.17
"NA","8b","pair-a","left",29,1087.79,3.62482,30,124.922,0.600588,30,175.372,0,16,62.6613,15.2149,9,35.8351,0,"blue","right",35.8351,62.6613,26.8262,-26.8262,0.363821418853887,98.4964,300.294,"test",0.14
"yes","1a","pair-3","right",3,504.553,1.68132,12,193.389,0.400392,13,106.905,0,4,125.723,9.00882,3,31.631,18.0176,"blue","left",125.723,31.631,-94.092,94.092,0.798981913392732,157.354,300.294,"training",0.29
"no","1b","pair-3","left",3,628.653,2.09485,13,259.654,0,11,40.4396,7.40725,4,15.4151,122.12,5,153.951,6.80666,"green","right",153.951,15.4151,138.5359,138.5359,0.908983556921958,169.3661,300.0936,"training",0.1
"yes","2a","pair-3","left",3,528.76,1.76198,16,176.773,27.0265,16,123.521,0,5,118.316,37.4367,3,34.8341,198.594,"blue","right",34.8341,118.316,83.4819,-83.4819,0.227450716649875,153.1501,300.294,"training",0.2
"no","2b","pair-3","left",3,584.699,1.94839,10,228.824,0,9,71.47,29.4288,7,143.941,13.0127,3,14.4141,76.2747,"blue","right",14.4141,143.941,129.5269,-129.5269,0.0910239076606942,158.3551,300.294,"training",0.11
"yes","3a","pair-3","right",3,545.496,1.81775,13,155.752,0,13,144.542,8.60843,4,130.528,47.8468,6,33.6329,8.60843,"blue","left",130.528,33.6329,-96.8951,96.8951,0.795122346429631,164.1609,300.294,"training",0.2
"no","3b","pair-3","right",3,391.787,1.30555,5,283.277,3.40333,5,17.0167,0,3,239.835,0,4,6.40627,83.8821,"green","left",239.835,6.40627,233.42873,233.42873,0.973983768033685,246.24127,300.2937,"training",0.12
"no","4a","pair-3","left",3,207.141,0.690254,5,183.179,0,4,117.115,116.314,1,43.2423,159.756,2,18.2178,116.314,"green","right",18.2178,43.2423,-25.0245,-25.0245,0.296416699614872,61.4601,300.294,"training",0.21
"no","4b","pair-3","left",3,558.314,1.86046,15,184.18,0,14,116.114,28.628,5,25.6251,73.0715,9,121.719,0,"green","right",121.719,25.6251,96.0939,96.0939,0.82608669094996,147.3441,300.294,"training",0.11
"yes","5a","pair-3","right",3,984.998,3.2823,30,147.344,5.80568,30,152.95,0,11,92.6907,52.051,12,58.4572,0,"green","left",92.6907,58.4572,34.2335,34.2335,0.613245040122952,151.1479,300.294,"training",0.18
"no","5b","pair-3","left",3,1329.16,4.42916,22,251.847,6.40627,22,48.4474,0,10,27.627,11.0108,11,37.2365,22.2218,"blue","right",37.2365,27.627,-9.6095,9.6095,0.57407478782366,64.8635,300.2944,"training",0.13
"yes","6a","pair-3","right",3,824.119,2.7462,17,233.228,0,16,67.0657,3.40333,9,159.156,0,4,13.6133,91.0892,"green","left",159.156,13.6133,145.5427,145.5427,0.921205329882103,172.7693,300.2937,"training",0.15
"yes","6b","pair-3","right",3,1080.75,3.60138,13,236.632,0,12,63.6623,0.800784,9,45.6447,0.600588,9,31.4308,13.4131,"green","left",45.6447,31.4308,14.2139,14.2139,0.59220764056023,77.0755,300.2943,"training",0.11
"no","7a","pair-3","left",3,645.678,2.15159,16,182.379,1.80176,16,117.915,0,5,21.6212,47.0461,9,60.6594,0,"blue","right",60.6594,21.6212,-39.0382,39.0382,0.737226028978884,82.2806,300.294,"training",0.31
"no","7b","pair-3","right",3,233.79,0.779056,5,139.336,30.8302,6,160.958,0,2,30.63,116.914,3,122.12,11.8116,"blue","left",30.63,122.12,91.49,-91.49,0.200523731587561,152.75,300.294,"training",0.13
"no","8a","pair-3","left",3,771.01,2.56923,4,288.883,0,3,11.4112,37.6368,3,10.8106,51.8508,7,32.0314,32.6319,"green","right",32.0314,10.8106,21.2208,21.2208,0.747663507772746,42.842,300.2942,"training",0.17
"no","8b","pair-3","right",3,971.544,3.23747,7,283.277,0,6,17.0167,3.80372,10,53.4523,3.80372,8,26.8263,19.0186,"blue","left",53.4523,26.8263,-26.626,26.626,0.665834979683253,80.2786,300.2937,"training",0.14
"yes","1a","pair-1","left",4,714.297,2.38025,16,204,1.60157,16,96.2943,0,5,43.0421,19.6192,7,159.156,0,"blue","right",159.156,43.0421,-116.1139,116.1139,0.787129058087094,202.1981,300.2943,"training",0.29
"no","1b","pair-1","left",4,515.65,1.7183,13,195.792,0,12,104.502,4.20412,3,12.0118,1.00098,8,221.417,22.8223,"green","right",221.417,12.0118,209.4052,209.4052,0.948541910852474,233.4288,300.294,"training",0.1
"yes","2a","pair-1","right",4,394.368,1.31415,11,264.459,7.60745,11,35.8351,0,6,278.473,4.60451,0,0,300,"blue","left",278.473,0,-278.473,278.473,1,278.473,300.2941,"training",0.2
"yes","2b","pair-1","right",4,243.545,0.811564,7,258.853,8.40823,7,41.4406,0,1,286.881,13.4131,0,0,300,"blue","left",286.881,0,-286.881,286.881,1,286.881,300.2936,"training",0.11
"yes","3a","pair-1","left",4,667.6,2.22464,25,202.598,0,25,97.6956,0.600588,6,12.4122,96.8949,5,220.015,0,"blue","right",220.015,12.4122,-207.6028,207.6028,0.94659747224077,232.4272,300.2936,"training",0.2
"yes","3b","pair-1","right",4,539.283,1.79705,23,150.347,2.40235,24,149.947,0,8,216.812,0,2,13.4131,114.913,"green","left",216.812,13.4131,203.3989,203.3989,0.941739193511046,230.2251,300.294,"training",0.12
"yes","4a","pair-1","right",4,371.052,1.23645,8,235.43,0,8,64.8635,10.6104,6,265.06,13.0127,0,0,300,"green","left",265.06,0,265.06,265.06,1,265.06,300.2935,"training",0.21
"no","4b","pair-1","right",4,415.461,1.38444,9,151.548,16.8165,9,148.746,0,5,59.6584,195.992,5,59.4582,0,"green","left",59.6584,59.4582,0.200200000000002,0.200200000000002,0.50084035306582,119.1166,300.294,"training",0.11
"yes","5a","pair-1","left",4,549.001,1.82943,17,181.378,0,17,118.916,0.400392,6,106.905,0,3,107.505,151.749,"green","right",107.505,106.905,0.599999999999994,0.599999999999994,0.501399188470687,214.41,300.294,"training",0.18
"no","5b","pair-1","left",4,1172.96,3.90863,25,215.411,0,24,84.8831,9.20902,6,20.42,21.0206,14,50.8498,8.20804,"blue","right",50.8498,20.42,-30.4298,30.4298,0.713483130302035,71.2698,300.2941,"training",0.13
"yes","6a","pair-1","right",4,741.205,2.46991,34,166.763,18.0176,34,133.531,0,10,177.574,8.40823,5,34.2335,0,"green","left",177.574,34.2335,143.3405,143.3405,0.838374467381939,211.8075,300.294,"training",0.15
"no","6b","pair-1","right",4,640.596,2.13465,14,185.982,0,13,114.312,6.60647,9,93.0911,43.6427,4,43.8429,0,"green","left",93.0911,43.8429,49.2482,49.2482,0.679824587027327,136.934,300.294,"training",0.11
"yes","7a","pair-1","left",4,681.181,2.26989,13,170.167,10.6104,13,130.127,0,5,72.0706,84.0823,9,93.0911,2.60255,"blue","right",93.0911,72.0706,-21.0205,21.0205,0.563636121449464,165.1617,300.294,"training",0.31
"no","7b","pair-1","right",4,402.154,1.34009,9,210.206,0,8,90.0882,16.4161,5,53.2521,0,3,34.6339,26.6261,"blue","left",53.2521,34.6339,-18.6182,18.6182,0.605922444985549,87.886,300.2942,"training",0.13
"yes","8a","pair-1","left",4,481.767,1.60539,12,249.644,0,11,50.6496,2.00196,2,10.0098,9.60941,6,225.22,0,"green","right",225.22,10.0098,215.2102,215.2102,0.957446718060382,235.2298,300.2936,"training",0.17
"no","8b","pair-1","left",4,1023.01,3.40898,10,284.078,0,9,16.2159,14.2139,13,58.0568,19.0186,5,13.0127,64.8635,"blue","right",13.0127,58.0568,45.0441,-45.0441,0.183098234826473,71.0695,300.2939,"training",0.14
"yes","1a","pair-2","left",5,625.002,2.08269,19,154.952,0,19,145.342,9.40921,9,97.6956,0,4,61.6604,45.8449,"blue","right",61.6604,97.6956,36.0352,-36.0352,0.386934913024925,159.356,300.294,"training",0.29
"no","1b","pair-2","right",5,560.845,1.8689,14,195.391,0,14,104.903,64.6633,6,214.81,0,3,22.422,104.102,"green","left",214.81,22.422,192.388,192.388,0.905484926148243,237.232,300.294,"training",0.1
"yes","2a","pair-2","left",5,355.97,1.1862,11,255.85,0,10,44.4435,165.762,2,22.422,270.265,5,244.84,0,"blue","right",244.84,22.422,-222.418,222.418,0.916104796042834,267.262,300.2935,"training",0.2
"yes","2b","pair-2","right",5,566.544,1.88789,14,191.988,25.2247,14,108.306,0,4,85.4837,27.4269,7,51.4504,0,"blue","left",85.4837,51.4504,-34.0333,34.0333,0.62426890014978,136.9341,300.294,"training",0.11
"yes","3a","pair-2","right",5,427.702,1.42523,8,171.368,0,8,128.926,15.4151,8,212.408,0,1,6.60647,81.8802,"blue","left",212.408,6.60647,-205.80153,205.80153,0.969835463382853,219.01447,300.294,"training",0.2
"no","3b","pair-2","right",5,740.437,2.46735,21,156.753,10.0098,21,143.541,0,13,132.73,33.8331,6,42.6417,1.40137,"green","left",132.73,42.6417,90.0883,90.0883,0.75684959431881,175.3717,300.294,"training",0.12
"no","4a","pair-2","left",5,454.127,1.51328,12,221.417,0,11,78.8772,63.2619,12,148.545,74.6731,0,0,300,"green","right",0,148.545,-148.545,-148.545,0,148.545,300.2942,"training",0.21
"no","4b","pair-2","left",5,793.714,2.64489,9,202.799,32.8321,9,97.4955,0,7,37.4367,29.8292,9,88.2864,0,"green","right",88.2864,37.4367,50.8497,50.8497,0.702228945993218,125.7231,300.2945,"training",0.11
"yes","5a","pair-2","right",5,426.027,1.41964,9,201.798,6.20608,10,98.4964,0,5,230.426,0,3,33.4327,254.85,"green","left",230.426,33.4327,196.9933,196.9933,0.873293167896302,263.8587,300.2944,"training",0.18
"no","5b","pair-2","left",5,1064.14,3.54602,18,198.394,0.800784,18,101.9,0,4,18.418,30.4298,20,56.6555,0,"blue","right",56.6555,18.418,-38.2375,38.2375,0.754667092915609,75.0735,300.294,"training",0.13
"yes","6a","pair-2","left",5,814.522,2.71422,17,205.401,5.0049,17,94.8929,0,8,65.6643,0,7,81.0794,40.4396,"green","right",81.0794,65.6643,15.4151,15.4151,0.552523890293076,146.7437,300.2939,"training",0.15
"no","6b","pair-2","left",5,654.109,2.17968,16,223.419,1.20118,16,76.8753,0,4,127.725,27.4269,10,57.8566,3.40333,"green","right",57.8566,127.725,-69.8684,-69.8684,0.311758277760295,185.5816,300.2943,"training",0.11
"yes","7a","pair-2","right",5,554.673,1.84833,13,146.744,0,12,153.55,3.40333,3,26.0255,59.6584,9,114.112,0.600588,"blue","left",26.0255,114.112,88.0865,-88.0865,0.185714030862546,140.1375,300.294,"training",0.31
"yes","7b","pair-2","right",5,229.645,0.765245,7,199.996,25.8253,7,100.298,0,1,142.339,157.955,3,121.719,5.60549,"blue","left",142.339,121.719,-20.62,20.62,0.539044452355164,264.058,300.294,"training",0.13
"no","8a","pair-2","left",5,663.973,2.21255,9,269.063,0,8,31.2306,21.8214,6,40.4396,40.4396,6,35.8351,10.6104,"green","right",35.8351,40.4396,-4.6045,-4.6045,0.469816334905283,76.2747,300.2936,"training",0.17
"no","8b","pair-2","left",5,793.264,2.64339,11,266.661,3.00294,11,33.6329,0,6,68.467,12.0118,5,41.0402,0,"blue","right",41.0402,68.467,27.4268,-27.4268,0.374771704508927,109.5072,300.2939,"training",0.14
"yes","1a","pair-1","left",6,410.759,1.36877,16,255.25,0.800784,16,45.0441,0,4,53.8527,0,4,216.412,36.2355,"blue","right",216.412,53.8527,-162.5593,162.5593,0.800740903270016,270.2647,300.2941,"training",0.29
"no","1b","pair-1","right",6,408.241,1.36038,12,146.744,0,11,153.55,5.2051,4,184.381,37.4367,4,43.8429,125.323,"green","left",184.381,43.8429,140.5381,140.5381,0.807895229202551,228.2239,300.294,"training",0.1
"yes","2a","pair-1","left",6,182.275,0.607394,4,284.278,0,3,16.0157,158.555,0,0,300,1,300.294,0,"blue","right",300.294,0,-300.294,300.294,1,300.294,300.2937,"training",0.2
"yes","2b","pair-1","left",6,380.236,1.26706,16,218.013,0,15,82.2806,5.60549,5,107.705,0,2,135.733,159.556,"blue","right",135.733,107.705,-28.028,28.028,0.557567019117804,243.438,300.2936,"training",0.11
"yes","3a","pair-1","right",6,352.614,1.17501,7,277.872,0,6,22.422,23.0225,2,289.884,0,0,0,300,"blue","left",289.884,0,-289.884,289.884,1,289.884,300.294,"training",0.2
"no","3b","pair-1","left",6,446.363,1.48741,16,201.597,3.40333,16,98.6966,0,8,126.324,0,6,66.2649,206.202,"green","right",66.2649,126.324,-60.0591,-60.0591,0.344074346963922,192.5889,300.2936,"training",0.12
"yes","4a","pair-1","right",6,316.921,1.05607,8,282.677,0,7,17.6172,4.00392,7,291.886,0,0,0,300,"green","left",291.886,0,291.886,291.886,1,291.886,300.2942,"training",0.21
"no","4b","pair-1","left",6,650.503,2.16767,19,189.586,0,19,110.708,16.6163,11,83.0813,0,8,85.6839,61.8606,"green","right",85.6839,83.0813,2.6026,2.6026,0.507710712872085,168.7652,300.294,"training",0.11
"yes","5a","pair-1","left",6,412.084,1.37318,11,249.845,0,10,50.4494,202.799,3,16.6163,268.863,4,239.234,0,"green","right",239.234,16.6163,222.6177,222.6177,0.935054600287746,255.8503,300.2944,"training",0.18
"no","5b","pair-1","left",6,883.495,2.94406,16,204,0,15,96.2943,7.40725,6,23.0225,49.2482,10,38.4376,16.8165,"blue","right",38.4376,23.0225,-15.4151,15.4151,0.625407378120114,61.4601,300.2943,"training",0.13
"yes","6a","pair-1","right",6,320.104,1.06668,13,235.43,0,13,64.8635,7.40725,2,254.85,7.00686,1,5.40529,285.88,"green","left",254.85,5.40529,249.44471,249.44471,0.979230816019148,260.25529,300.2935,"training",0.15
"no","6b","pair-1","right",6,480.78,1.6021,15,110.708,0,14,189.586,5.0049,7,137.935,0,4,30.2296,72.2708,"green","left",137.935,30.2296,107.7054,107.7054,0.820238028693316,168.1646,300.294,"training",0.11
"yes","7a","pair-1","left",6,411.481,1.37117,12,247.042,9.00882,12,53.2521,0,3,16.4161,187.183,4,193.59,8.20804,"blue","right",193.59,16.4161,-177.1739,177.1739,0.921830365879848,210.0061,300.2941,"training",0.31
"no","7b","pair-1","right",6,150.36,0.538398,7,201.397,0,7,78.677,164.161,1,218.414,6.40627,3,42.0412,231.627,"blue","left",218.414,42.0412,-176.3728,176.3728,0.838585676154671,260.4552,280.074,"training",0.13
"no","8a","pair-1","right",6,723.952,2.41242,7,279.474,0,6,20.8204,18.6182,3,12.6123,18.6182,5,39.6388,4.00392,"green","left",12.6123,39.6388,-27.0265,-27.0265,0.241378650401618,52.2511,300.2944,"training",0.17
"no","8b","pair-1","right",6,841.683,2.80473,14,258.453,0,13,41.841,22.8223,10,70.469,29.2286,8,30.63,0,"blue","left",70.469,30.63,-39.839,39.839,0.697029644210131,101.099,300.294,"training",0.14
"yes","1a","pair-2","right",7,548.33,1.82719,14,257.852,0,13,42.4416,46.6457,6,236.632,0,5,27.627,121.119,"blue","left",236.632,27.627,-209.005,209.005,0.895454837867395,264.259,300.2936,"training",0.29
"yes","1b","pair-2","right",7,757.051,2.52272,24,207.003,0,23,93.2913,25.4249,10,152.149,56.8557,4,64.2629,0,"green","left",152.149,64.2629,87.8861,87.8861,0.703052835819102,216.4119,300.2943,"training",0.1
"yes","2a","pair-2","left",7,320.189,1.06696,5,280.875,0,4,19.419,241.236,2,11.8116,250.245,4,264.059,0,"blue","right",264.059,11.8116,-252.2474,252.2474,0.957184274076324,275.8706,300.294,"training",0.2
"yes","2b","pair-2","left",7,666.999,2.22264,21,208.004,0,20,92.2904,3.20314,9,85.6839,0,7,160.557,79.2776,"blue","right",160.557,85.6839,-74.8731,74.8731,0.652032217231175,246.2409,300.2944,"training",0.11
"yes","3a","pair-2","right",7,505.432,1.68425,12,200.596,7.60745,13,99.6976,0,6,223.018,8.80862,3,9.8096,0,"blue","left",223.018,9.8096,-213.2084,213.2084,0.957867538041023,232.8276,300.2936,"training",0.2
"no","3b","pair-2","left",7,718.443,2.39406,18,218.013,0,17,82.2806,12.6123,8,59.8586,0,9,162.96,30.0294,"green","right",162.96,59.8586,103.1014,103.1014,0.731357256530649,222.8186,300.2936,"training",0.12
"yes","4a","pair-2","right",7,189.348,0.630962,3,297.691,0,2,2.60255,10.21,1,290.084,10.21,0,0,300,"green","left",290.084,0,290.084,290.084,1,290.084,300.29355,"training",0.21
"no","4b","pair-2","right",7,741.174,2.46981,21,169.166,5.60549,22,131.128,0,12,71.2698,0,6,56.2551,43.2423,"green","left",71.2698,56.2551,15.0147,15.0147,0.558869679568461,127.5249,300.294,"training",0.11
"yes","5a","pair-2","left",7,162.892,0.542804,1,300.294,0,0,0,300,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.294,"training",0.18
"no","5b","pair-2","right",7,916.604,3.05439,17,238.433,0,16,61.8606,1.40137,5,12.0118,1.60157,6,24.4239,63.2619,"blue","left",12.0118,24.4239,12.4121,-12.4121,0.329671174150627,36.4357,300.2936,"training",0.13
"yes","6a","pair-2","left",7,916.481,3.05398,17,221.016,2.00196,18,79.2776,0,7,72.0706,17.8174,8,72.6711,0,"green","right",72.6711,72.0706,0.600499999999997,0.600499999999997,0.502074384921553,144.7417,300.2936,"training",0.15
"no","6b","pair-2","right",7,744.745,2.48171,18,165.162,0,17,135.132,2.00196,11,130.728,0,5,50.8498,50.049,"green","left",130.728,50.8498,79.8782,79.8782,0.71995585363409,181.5778,300.294,"training",0.11
"yes","7a","pair-2","right",7,383.231,1.27704,9,251.046,10.6104,9,49.2482,0,1,158.355,141.939,7,81.0794,0,"blue","left",158.355,81.0794,-77.2756,77.2756,0.661371131299429,239.4344,300.2942,"training",0.31
"yes","7b","pair-2","right",7,455.472,1.51776,13,240.035,0,12,60.259,6.40627,6,191.788,0,2,28.2276,19.419,"blue","left",191.788,28.2276,-163.5604,163.5604,0.871701824779697,220.0156,300.294,"training",0.13
"yes","8a","pair-2","left",7,585.909,1.95242,8,275.87,0,7,24.4239,4.40431,5,28.628,44.2433,5,39.0382,4.40431,"green","right",39.0382,28.628,10.4102,10.4102,0.576923190603285,67.6662,300.2939,"training",0.17
"no","8b","pair-2","left",7,710.628,2.36802,12,173.57,30.0294,13,126.724,0,8,123.121,12.6123,6,16.8165,0,"blue","right",16.8165,123.121,106.3045,-106.3045,0.120171505136222,139.9375,300.294,"training",0.14
