id,trial,trained.object,object.colour,sex,object.side.etho.view,distance.moved,mean.velocity,,time.in.periphery,s,,time.in.center,s,,time.with.left.object,s,,time.with.right.object,s,zone.changes
C1,11,Red Ramp,red,F,R,1833.16,3.06145,8,551.54,0.400392,8,47.4465,0,11,46.0451,26.6261,17,55.0539,0,233
C2,11,Red Ramp,red,F,L,2029.5,3.38935,21,542.531,3.60353,20,56.2551,0,16,53.8527,52.6515,15,36.6359,12.8125,242
C3,11,Red Ramp,red,M,R,3758.88,6.27749,27,529.719,0.200196,25,68.8674,0,31,64.0627,19.6192,37,68.8674,0,516
D2,11,White Tall Brick,white,F,R,3009.6,5.02617,20,539.728,4.20412,20,59.258,0,25,54.6535,25.4249,20,45.6447,1.20118,396
D3,11,White Tall Brick,white,M,L,2707.12,4.52101,12,582.17,0.800784,8,16.0157,0,29,67.2659,31.631,18,45.0441,6.60647,355
E1,11,Orange Ramp,orange,F,R,1875.8,3.13266,9,550.539,0,8,48.4474,38.0372,16,63.0617,46.4455,15,41.841,4.00392,236
E2,11,Orange Ramp,orange,F,L,1952.43,3.26064,11,549.138,0.800784,11,49.8488,0,20,78.677,0.600588,15,48.047,68.467,236
E3,11,Orange Ramp,orange,M,R,2410.57,4.02711,12,567.956,0,11,30.8302,0.800784,23,70.2688,32.8321,16,46.8459,1.80176,306
F1,11,Purple Brick,purple,F,R,1073.63,1.79301,3,591.379,0,2,7.60745,174.771,6,26.4259,43.6427,5,24.0235,0.200196,116
F2,11,Purple Brick,purple,F,L,1545.97,2.58184,12,523.913,38.838,12,75.0735,0,16,53.2521,45.0441,11,57.8566,76.6751,187
G1,11,Green Rectangular Prism,green,F,L,1094.63,1.82809,9,561.95,0,8,37.0363,59.8586,12,41.4406,0,10,34.0333,114.512,133
G2,11,Green Rectangular Prism,green,F,R,1972.85,3.29475,13,546.935,0,12,52.051,1.40137,13,39.6388,70.0686,17,102.701,0,255
G3,11,Green Rectangular Prism,green,M,L,2305.34,3.85003,11,593.982,0.800784,3,3.20314,0,15,43.6427,12.212,21,68.0666,31.0304,260
V1,11,Grey Ramp,grey,F,L,1681.49,2.80816,4,591.579,0,2,7.20706,108.306,9,29.0284,40.84,7,30.0294,13.4131,195
V2,11,Grey Ramp,grey,F,R,1690.25,2.82279,42,559.748,0,7,19.0186,41.841,21,84.8831,19.2188,9,28.8282,64.4631,183
V3,11,Grey Ramp,grey,M,L,2485.89,4.15155,21,559.548,19.8194,18,38.4376,0,15,31.631,24.2237,18,43.2423,36.4357,294
W1,11,Yellow Rectangular Prism,yellow,F,L,1622.61,2.70983,13,543.933,24.2237,11,54.4533,0,25,72.8713,20.2198,11,30.2296,62.261,205
W2,11,Yellow Rectangular Prism,yellow,F,R,1891.8,3.1594,7,570.358,4.60451,7,28.628,0,15,50.8498,2.20216,15,41.841,20.2198,243
W3,11,Yellow Rectangular Prism,yellow,M,L,3056.2,5.104,10,568.557,8.60843,10,30.4298,0,20,41.2404,6.80666,15,31.0304,32.8321,385
X1,11,Cyan Ramp,blue,F,R,2289.72,3.82394,20,551.14,6.60647,19,47.6466,0,20,68.8674,1.40137,25,62.6613,28.2276,293
X2,11,Cyan Ramp,blue,F,L,2184.09,3.64753,12,540.529,22.6221,12,58.4572,0,12,35.2345,34.4337,18,47.4465,29.2286,259
X3,11,Cyan Ramp,blue,M,R,2298.51,3.8399,8,592.18,0,4,5.80568,48.4474,18,52.051,60.259,15,40.84,45.2443,267
Y1,11,Green Semisphere,green,F,L,2311.12,3.85968,29,474.064,2.20216,29,124.922,0,20,62.6613,22.8223,31,87.2855,10.0098,323
Y2,11,Green Semisphere,green,F,R,1923.05,3.21158,6,583.772,0,5,15.2149,53.4523,14,58.6574,18.418,19,66.2649,41.841,227
Y3,11,Green Semisphere,green,M,L,3498.99,5.84348,19,541.13,12.212,19,57.8566,0,29,55.4543,14.0137,20,34.8341,28.2276,473
Z1,11,Blue Brick,blue,F,R,917.809,1.53278,9,529.919,31.631,9,69.0676,0,8,34.2335,47.0461,7,21.421,81.8802,106
Z2,11,Blue Brick,blue,F,L,2742.88,4.58073,13,564.152,0.600588,13,34.8341,0,24,59.0578,6.20608,21,43.6427,21.8214,354
Z3,11,Blue Brick,blue,M,R,1597.05,2.66714,15,528.718,13.8135,11,68.8674,0,13,42.8419,24.8243,17,57.4563,50.6496,180
